BATT1:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
ENCA1:1
ENCB1:1
HC-SRO4:1
IMU1:1
J1:1
J2:1
J3:1
J4:1
LS_1:1
MD1:1
MOTA1:1
MOTB1:1
OLED1:1
R1:1
R2:1
R3:1
R4:1
R5:1
REF**:1
REF-MNT:1
S5V1:1
S6V1:1
TP1:1
TP2:1
TP3:1
TP4:1
U1:1
